timestamp,product_id,product_category,warehouse_location,inventory_level,units_sold,unit_price,lead_time_days,restock_quantity,promotion_flag,temperature_celsius,humidity_percent,truck_arrival_delay_mins,demand_forecast
2024-01-23,P008,Home Goods,WH01,244,25,235.34,3,285,1,24.18,70.66,5,22
2024-01-24,P010,Electronics,WH01,85,27,180.55,10,228,0,21.28,64.84,31,29
2024-01-25,P005,FMCG,WH02,314,34,412.01,6,195,0,15.35,68.58,92,32
2024-01-26,P005,Apparel,WH01,402,32,24.7,13,163,1,39.95,62.42,43,34
2024-01-27,P002,Electronics,WH01,165,31,174.5,3,129,1,23.01,31.26,113,34
2024-01-28,P007,Home Goods,WH02,249,32,12.56,7,54,0,15.55,56.74,114,31
2024-01-29,P005,Apparel,WH04,301,26,322.35,9,136,0,32.64,33.14,47,22
2024-01-30,P007,Home Goods,WH05,184,35,238.58,2,224,0,18.17,67.33,47,36
2024-01-31,P008,Home Goods,WH03,457,32,288.02,9,129,0,37.73,40.32,52,36
2024-02-01,P007,Apparel,WH03,468,40,24.15,5,32,0,15.15,46.17,87,43
2024-02-02,P007,FMCG,WH05,98,28,176.46,10,214,1,22.88,47.95,49,25
2024-02-03,P002,Apparel,WH02,464,23,283.03,1,256,0,25.24,65.79,46,27
2024-02-04,P003,FMCG,WH05,401,20,278.19,2,52,1,22.97,76.91,94,17
2024-02-05,P001,Home Goods,WH04,153,33,148.94,12,232,1,37.56,49.39,5,31
2024-02-06,P004,FMCG,WH02,472,29,219.13,10,263,0,20.78,44.5,12,30
2024-02-07,P002,Home Goods,WH04,92,32,248.36,10,38,1,15.59,52.71,108,34
2024-02-08,P004,Home Goods,WH04,481,25,229.23,3,151,1,28.44,48.86,100,21
2024-02-09,P002,Electronics,WH04,464,25,417.64,11,183,1,26.04,39.58,35,28
2024-02-10,P010,Electronics,WH01,332,36,30.26,8,91,1,19.12,47.93,12,39
2024-02-11,P007,Electronics,WH01,458,34,48.23,9,297,1,28.04,67.44,83,30
2024-02-12,P009,Home Goods,WH04,259,39,78.01,1,221,1,26.16,44.3,32,41
2024-02-13,P006,Apparel,WH04,66,32,119.4,14,59,1,19.31,33.21,112,31
2024-02-14,P002,Apparel,WH05,238,36,453.07,11,144,0,16.02,38.94,6,37
2024-02-15,P004,FMCG,WH03,331,23,158.62,2,231,0,34.36,69.66,11,20
2024-02-16,P004,Home Goods,WH01,174,36,393.58,10,103,0,32.25,65.11,27,40
2024-02-17,P008,Home Goods,WH03,282,31,264.32,11,142,0,27.15,58.93,40,28
2024-02-18,P004,FMCG,WH04,233,32,212.42,4,174,1,17.98,30.4,38,27
2024-02-19,P002,Electronics,WH03,346,27,39.3,2,148,0,32.04,39.32,107,25
2024-02-20,P002,Home Goods,WH03,370,26,289.78,1,205,1,24.38,34.26,19,22
2024-02-21,P002,FMCG,WH02,134,37,62.97,7,27,1,16.97,79.51,8,32
2024-02-22,P009,FMCG,WH04,254,36,162.54,11,118,0,22.54,66.53,90,35
2024-02-23,P002,Apparel,WH05,148,34,21.08,7,30,1,35.85,68.68,41,32
2024-02-24,P009,Electronics,WH05,477,28,369.59,8,107,1,22.98,63.25,47,24
2024-02-25,P007,Apparel,WH01,94,30,56.39,11,103,1,36.7,62.39,14,31
2024-02-26,P003,FMCG,WH05,455,36,13.89,5,263,0,28.09,61.65,63,36
2024-02-27,P010,Apparel,WH02,394,23,122.92,14,212,1,38.07,75.4,24,27
2024-02-28,P004,Home Goods,WH01,447,28,199.93,14,147,1,23.77,72.94,16,26
2024-02-29,P010,Apparel,WH03,85,25,158.94,12,175,1,35.92,51.84,30,28
2024-03-01,P004,Electronics,WH05,230,29,390.83,11,92,0,26.65,59.55,17,28
2024-03-02,P007,Apparel,WH03,382,25,12.84,1,179,0,25.48,36.64,53,24
2024-03-03,P006,FMCG,WH04,169,25,437.65,9,3,1,26.66,69.88,117,26
2024-03-04,P007,Apparel,WH02,433,22,417.23,2,152,1,30.12,53.9,44,21
2024-03-05,P010,Apparel,WH02,270,36,246.48,9,42,1,33.43,46.75,88,34
2024-03-06,P007,Apparel,WH03,149,23,399.09,12,0,1,30.59,51.72,95,18
2024-03-07,P005,FMCG,WH05,63,37,81.01,8,260,1,22.5,33.2,16,34
2024-03-08,P009,Home Goods,WH03,359,28,19.9,11,191,1,36.06,49.7,85,27
2024-03-09,P009,Home Goods,WH05,362,23,42.11,9,226,1,37.63,55.03,34,23
2024-03-10,P007,Electronics,WH03,66,27,224.71,14,127,0,25.15,30.01,112,29
2024-03-11,P006,Apparel,WH02,66,36,430.61,2,74,1,34.78,63.01,33,33
2024-03-12,P001,FMCG,WH02,498,25,314.81,2,194,0,20.2,50.59,35,21
2024-03-13,P002,FMCG,WH01,378,24,383.59,4,143,1,35.48,69.0,54,20
2024-03-14,P001,Electronics,WH03,479,24,122.03,14,74,1,15.65,42.19,9,26
2024-03-15,P002,Electronics,WH04,377,27,348.44,7,241,0,25.47,42.46,76,24
2024-03-16,P009,Home Goods,WH02,62,26,96.07,12,236,1,23.92,49.2,67,27
2024-03-17,P010,Electronics,WH03,489,33,83.21,13,161,0,32.97,78.98,84,34
2024-03-18,P008,Electronics,WH03,412,35,31.97,11,244,1,26.13,51.13,94,36
2024-03-19,P008,Apparel,WH02,102,35,115.31,11,201,1,18.57,33.58,82,36
2024-03-20,P008,FMCG,WH05,489,27,237.44,10,298,1,15.01,34.63,19,31
2024-03-21,P010,Apparel,WH04,411,27,355.22,12,13,0,16.55,35.81,99,30
2024-03-22,P009,Apparel,WH02,296,33,114.52,7,64,0,16.36,40.15,58,29
2024-03-23,P001,Electronics,WH02,461,27,50.05,12,266,1,23.57,69.41,90,28
2024-03-24,P002,Home Goods,WH02,81,40,291.73,1,29,0,31.5,45.07,52,43
2024-03-25,P005,Apparel,WH02,404,26,159.29,11,52,1,39.81,58.62,74,26
2024-03-26,P004,Apparel,WH02,78,36,144.69,12,298,0,33.77,41.3,2,37
2024-03-27,P004,FMCG,WH05,149,28,214.29,4,259,0,23.22,73.1,94,32
2024-03-28,P003,FMCG,WH03,204,29,474.53,7,195,1,29.42,75.74,23,32
2024-03-29,P004,Electronics,WH04,315,33,446.95,4,225,1,35.71,58.59,23,30
2024-03-30,P008,Apparel,WH01,234,33,373.94,10,62,0,18.35,30.78,54,28
2024-03-31,P003,FMCG,WH04,55,28,404.56,4,211,1,37.39,78.39,3,31
2024-04-01,P001,FMCG,WH04,448,24,126.18,9,27,1,22.06,31.79,53,27
2024-04-02,P005,Electronics,WH04,279,31,214.12,1,13,1,32.57,45.64,18,34
2024-04-03,P009,FMCG,WH05,273,29,106.21,6,137,1,16.73,38.53,91,24
2024-04-04,P009,FMCG,WH05,238,27,208.77,7,228,1,29.56,73.8,60,27
2024-04-05,P006,Apparel,WH05,250,45,452.67,3,82,0,25.89,76.4,86,47
2024-04-06,P007,Home Goods,WH01,60,30,16.13,12,290,1,32.45,46.14,68,29
2024-04-07,P006,Electronics,WH04,316,25,164.62,4,7,1,33.2,55.4,36,26
2024-04-08,P005,Apparel,WH04,149,28,233.17,6,187,1,32.14,30.45,113,25
2024-04-09,P005,Home Goods,WH02,142,27,164.92,7,93,1,21.17,51.37,83,31
2024-04-10,P004,Home Goods,WH03,206,26,447.86,11,230,1,29.16,78.96,73,24
2024-04-11,P006,Apparel,WH03,263,26,168.1,9,95,1,24.37,62.2,30,24
2024-04-12,P001,Electronics,WH01,391,28,364.75,13,267,0,34.87,61.61,50,23
2024-04-13,P006,FMCG,WH05,428,25,250.27,3,72,0,24.48,67.24,80,20
2024-04-14,P001,Apparel,WH01,231,28,464.61,12,87,1,21.32,59.59,19,28
2024-04-15,P009,Home Goods,WH02,104,34,48.86,1,261,1,19.09,52.19,29,34
2024-04-16,P005,FMCG,WH02,76,36,199.46,2,108,0,36.19,57.05,110,40
2024-04-17,P008,Home Goods,WH03,347,30,461.69,10,17,0,22.16,40.05,65,34
2024-04-18,P007,Home Goods,WH04,457,41,365.46,5,155,0,33.72,42.79,42,43
2024-04-19,P003,Electronics,WH03,397,25,435.49,3,26,1,28.79,62.62,119,21
2024-04-20,P001,Electronics,WH01,403,36,360.98,11,171,1,26.72,71.07,10,31
2024-04-21,P005,FMCG,WH05,464,36,400.8,1,278,0,25.03,68.62,102,35
2024-04-22,P010,Electronics,WH03,391,29,475.19,7,283,0,30.79,59.35,72,29
2024-04-23,P003,FMCG,WH04,334,27,410.17,12,216,0,31.06,38.02,108,31
2024-04-24,P005,Apparel,WH03,185,29,18.17,13,27,0,23.19,60.44,7,24
2024-04-25,P003,Electronics,WH02,331,31,193.7,14,262,1,34.8,36.83,57,33
2024-04-26,P009,Home Goods,WH03,219,40,327.93,1,276,1,17.17,72.38,10,43
2024-04-27,P001,Electronics,WH04,144,25,420.15,1,297,1,31.69,67.25,56,20
2024-04-28,P002,Electronics,WH03,470,26,221.18,1,236,0,39.41,45.36,102,22
2024-04-29,P001,Apparel,WH02,496,34,260.77,12,226,1,36.7,47.11,23,29
2024-04-30,P001,Home Goods,WH03,379,34,134.93,10,27,0,36.47,43.08,104,29
2024-05-01,P001,Home Goods,WH03,381,29,413.59,2,152,0,28.74,67.5,78,28
2024-05-02,P001,Home Goods,WH01,478,28,477.06,5,279,1,27.48,31.49,60,27
2024-05-03,P003,FMCG,WH03,420,21,134.27,1,234,1,15.32,73.45,57,23
2024-05-04,P008,Home Goods,WH03,433,31,225.84,6,47,1,27.96,47.16,73,29
2024-05-05,P001,FMCG,WH05,77,33,73.84,12,243,0,29.45,76.98,74,33
2024-05-06,P009,Home Goods,WH02,474,34,335.71,8,74,0,23.44,41.2,63,30
2024-05-07,P008,Electronics,WH05,71,22,411.9,7,9,1,25.88,35.96,63,20
2024-05-08,P001,Home Goods,WH05,268,21,157.27,12,42,1,25.66,40.78,91,19
2024-05-09,P002,FMCG,WH03,94,31,371.67,12,249,1,22.92,75.28,59,32
2024-05-10,P003,Apparel,WH02,101,34,473.75,11,72,1,26.84,37.45,16,38
2024-05-11,P001,FMCG,WH05,126,32,185.66,13,17,1,17.98,50.71,93,31
2024-05-12,P001,FMCG,WH03,384,35,375.05,5,150,1,23.53,52.36,6,30
2024-05-13,P005,FMCG,WH04,228,24,415.5,5,254,0,28.49,47.32,21,20
2024-05-14,P001,Apparel,WH01,157,34,396.69,14,126,1,27.52,71.39,43,29
2024-05-15,P008,Home Goods,WH03,314,23,497.37,3,4,1,23.13,31.13,16,26
2024-05-16,P009,Home Goods,WH01,160,19,186.72,12,253,0,32.67,71.08,115,19
2024-05-17,P003,FMCG,WH04,212,29,326.45,4,66,1,21.47,35.38,112,30
2024-05-18,P001,Electronics,WH03,454,31,120.6,6,166,1,34.14,77.84,14,32
2024-05-19,P006,Home Goods,WH02,97,28,187.75,1,154,1,33.89,50.75,75,26
2024-05-20,P008,Home Goods,WH01,346,25,237.75,4,197,0,21.5,75.53,93,25
2024-05-21,P009,Home Goods,WH03,85,21,430.57,14,292,0,29.53,71.7,15,23
2024-05-22,P006,Home Goods,WH03,352,37,455.62,13,134,1,15.63,53.61,47,41
2024-05-23,P006,Electronics,WH04,291,37,377.59,2,96,1,21.95,65.0,22,40
2024-05-24,P005,FMCG,WH01,68,29,353.88,13,278,1,37.7,73.94,51,29
2024-05-25,P001,Apparel,WH03,237,31,362.64,6,183,0,39.37,50.62,9,28
2024-05-26,P010,Home Goods,WH05,156,28,235.77,9,188,0,22.39,63.92,37,28
2024-05-27,P002,FMCG,WH01,356,31,361.07,4,167,1,16.81,31.49,44,35
2024-05-28,P010,Electronics,WH04,454,31,163.66,12,162,0,25.52,51.99,67,31
2024-05-29,P004,Apparel,WH02,466,33,205.21,9,46,0,39.97,73.72,69,29
2024-05-30,P006,Electronics,WH02,451,27,179.0,1,142,0,33.98,35.71,90,31
2024-05-31,P006,Electronics,WH02,79,34,72.58,8,109,1,23.64,50.78,20,38
2024-06-01,P004,FMCG,WH04,182,31,340.83,10,14,0,33.89,48.77,43,27
2024-06-02,P005,Electronics,WH03,134,35,231.28,11,132,0,33.87,60.5,97,36
2024-06-03,P008,Apparel,WH04,380,46,52.16,10,31,0,36.05,30.94,111,50
2024-06-04,P003,Electronics,WH04,133,33,68.07,10,164,0,29.52,60.44,56,31
2024-06-05,P001,Home Goods,WH04,333,38,277.15,9,177,1,22.2,40.92,74,37
2024-06-06,P002,Apparel,WH01,238,28,474.07,3,278,0,34.28,36.81,15,23
2024-06-07,P007,FMCG,WH01,294,17,301.24,5,45,1,39.16,31.95,10,14
2024-06-08,P002,Apparel,WH01,246,19,332.77,14,299,1,39.28,66.2,70,18
2024-06-09,P003,Home Goods,WH04,453,32,79.92,13,80,1,25.27,51.79,111,35
2024-06-10,P010,Apparel,WH03,407,29,458.35,11,19,0,36.02,48.2,43,31
2024-06-11,P008,Home Goods,WH04,94,30,121.08,6,81,1,26.79,33.57,48,28
2024-06-12,P007,Home Goods,WH02,321,24,208.08,14,291,1,18.5,72.31,70,28
2024-06-13,P010,FMCG,WH01,358,34,158.82,14,292,0,18.01,41.74,62,34
2024-06-14,P003,FMCG,WH05,495,32,380.05,3,22,1,35.65,46.57,50,31
2024-06-15,P002,Apparel,WH05,212,33,180.88,2,125,0,39.59,50.06,19,34
2024-06-16,P006,Electronics,WH03,261,25,326.9,5,296,1,23.77,67.97,115,22
2024-06-17,P006,FMCG,WH04,228,21,214.9,14,271,1,26.42,41.13,8,25
2024-06-18,P003,Home Goods,WH05,195,32,263.71,1,67,0,32.5,60.1,102,29
2024-06-19,P010,Electronics,WH05,54,37,216.78,12,130,1,31.64,66.94,72,34
2024-06-20,P006,Apparel,WH05,374,32,278.93,8,2,1,33.89,32.9,13,30
2024-06-21,P008,FMCG,WH03,319,25,102.43,11,264,1,27.58,44.42,81,24
2024-06-22,P009,Home Goods,WH02,202,24,300.74,1,240,1,18.06,51.26,62,21
2024-06-23,P004,FMCG,WH03,379,36,342.31,14,281,0,38.24,56.22,74,34
2024-06-24,P001,Home Goods,WH04,420,28,54.75,7,163,0,17.5,58.87,87,32
2024-06-25,P006,Electronics,WH03,311,30,240.3,6,292,1,19.76,52.05,38,33
2024-06-26,P007,FMCG,WH05,415,28,415.41,11,79,1,16.21,57.03,54,23
2024-06-27,P002,Home Goods,WH02,320,34,82.26,10,108,0,36.1,37.88,20,36
2024-06-28,P002,Electronics,WH03,435,16,32.17,10,169,0,34.93,32.01,25,14
2024-01-01,P002,FMCG,WH03,321,33,316.99,11,251,0,38.76,58.2,101,34
2024-01-02,P005,Home Goods,WH02,414,30,351.7,1,28,0,27.36,72.51,59,28
2024-01-03,P003,Apparel,WH03,294,31,332.86,4,17,1,16.57,77.45,76,30
2024-01-04,P007,Apparel,WH04,61,20,72.24,7,196,1,22.55,40.47,106,19
2024-01-05,P007,Electronics,WH01,468,24,55.87,7,170,0,27.39,59.55,81,23
2024-01-06,P008,Home Goods,WH01,80,24,459.03,11,154,1,26.44,39.08,34,28
2024-01-07,P007,FMCG,WH03,366,33,277.61,8,224,1,32.28,70.81,57,37
2024-01-08,P005,Apparel,WH05,120,29,83.26,6,118,1,20.48,66.55,6,26
2024-01-09,P008,FMCG,WH03,321,35,170.23,3,21,1,24.53,79.97,12,32
2024-01-10,P010,Electronics,WH05,135,37,319.78,1,246,0,28.16,49.97,106,33
2024-01-11,P006,Electronics,WH01,182,37,395.07,4,244,0,18.84,75.44,106,37
2024-01-12,P002,Apparel,WH05,135,33,352.52,8,73,1,35.51,30.49,61,29
2024-01-13,P010,Electronics,WH03,440,38,340.29,11,31,1,17.67,62.19,67,40
2024-01-14,P006,Apparel,WH01,337,24,101.43,12,203,0,35.32,60.74,82,28
2024-01-15,P007,Home Goods,WH05,376,36,233.92,14,83,1,26.52,75.91,16,32
2024-01-16,P003,Apparel,WH04,213,33,175.67,4,242,1,36.64,41.76,87,29
2024-01-17,P003,Apparel,WH01,292,33,130.96,2,225,0,30.29,64.19,118,36
2024-01-18,P003,Apparel,WH03,346,36,127.47,9,155,1,33.42,67.6,52,31
2024-01-19,P001,Home Goods,WH05,472,27,211.38,7,86,1,35.38,30.35,78,28
2024-01-20,P008,Electronics,WH05,358,28,285.06,3,55,1,30.01,71.86,72,24
2024-01-21,P005,Home Goods,WH03,50,23,305.9,8,279,1,21.89,68.31,38,24
2024-01-22,P007,Home Goods,WH03,472,31,81.28,11,296,0,31.2,60.85,66,31
2024-01-23,P006,Apparel,WH04,237,22,430.01,6,284,1,34.32,64.27,100,26
2024-01-24,P001,FMCG,WH03,93,28,261.21,2,148,0,19.9,69.76,8,31
2024-01-25,P002,FMCG,WH02,175,20,260.41,8,93,1,27.93,37.91,51,24
2024-01-26,P001,Electronics,WH03,123,27,162.84,12,104,0,34.51,68.71,110,28
2024-01-27,P002,Apparel,WH03,80,37,424.83,2,214,1,33.63,36.12,2,34
2024-01-28,P001,Electronics,WH05,51,33,75.19,5,10,0,22.09,41.47,32,31
2024-01-29,P004,Apparel,WH02,399,24,281.15,2,61,1,34.77,65.18,20,27
2024-01-30,P009,Apparel,WH03,314,34,164.45,4,259,0,32.13,42.36,112,34
2024-01-31,P006,Apparel,WH03,439,29,336.77,10,168,0,37.99,52.9,5,33
2024-02-01,P004,Apparel,WH01,114,21,151.08,11,186,1,37.88,30.98,10,25
2024-02-02,P008,Home Goods,WH05,219,36,338.64,5,152,0,35.1,41.58,5,32
2024-02-03,P004,Apparel,WH05,205,38,456.51,7,6,0,27.86,73.31,119,37
2024-02-04,P002,Apparel,WH03,386,26,277.53,4,245,1,18.13,73.77,42,28
2024-02-05,P009,Home Goods,WH04,435,32,228.75,13,8,1,37.48,30.11,106,36
2024-02-06,P003,Electronics,WH05,366,30,235.04,13,172,1,37.56,63.71,43,31
2024-02-07,P006,Apparel,WH02,374,34,490.89,8,170,0,23.17,66.14,10,35
2024-02-08,P008,Apparel,WH01,91,32,328.24,6,102,0,33.62,31.54,71,28
2024-02-09,P010,FMCG,WH04,485,28,207.36,3,245,1,31.41,52.1,45,30
2024-02-10,P008,FMCG,WH04,467,27,189.71,4,19,1,23.1,58.55,46,31
2024-02-11,P004,FMCG,WH05,432,30,341.9,11,66,0,29.4,67.7,56,25
2024-02-12,P008,Apparel,WH02,432,29,17.78,12,291,1,19.03,67.0,78,33
2024-02-13,P004,Home Goods,WH01,252,22,281.69,10,95,0,30.4,75.34,97,23
2024-02-14,P007,Apparel,WH03,307,34,153.53,6,249,1,29.1,47.06,15,29
2024-02-15,P004,FMCG,WH03,75,27,365.34,13,145,0,30.26,62.03,5,25
2024-02-16,P003,FMCG,WH04,238,28,125.56,9,39,0,16.4,55.17,11,30
2024-02-17,P001,FMCG,WH02,360,43,334.22,11,97,1,32.81,30.73,64,47
2024-02-18,P001,Home Goods,WH01,449,35,167.57,8,46,1,36.2,56.33,102,33
2024-02-19,P003,Apparel,WH05,252,28,461.1,3,142,1,32.21,55.04,21,31
2024-02-20,P006,Home Goods,WH05,95,31,434.86,2,219,0,38.8,48.31,60,30
2024-02-21,P008,Apparel,WH05,480,29,179.44,4,51,1,16.45,65.49,28,32
2024-02-22,P001,Home Goods,WH03,380,39,296.49,1,106,1,37.77,41.69,99,41
2024-02-23,P002,Home Goods,WH01,314,23,72.72,13,258,1,29.45,57.14,16,23
2024-02-24,P002,Electronics,WH02,493,32,255.86,6,199,1,38.46,44.29,86,28
2024-02-25,P010,Apparel,WH03,134,37,38.76,12,129,0,39.23,37.64,111,36
2024-02-26,P007,FMCG,WH02,498,29,475.07,10,159,0,34.99,64.66,67,26
2024-02-27,P005,Home Goods,WH04,225,20,428.52,9,223,1,26.08,52.29,72,16
2024-02-28,P008,Electronics,WH02,478,31,67.67,4,112,1,15.98,69.72,14,32
2024-02-29,P007,Electronics,WH03,339,24,134.72,8,190,1,30.14,66.56,68,22
2024-03-01,P001,Electronics,WH04,59,33,125.07,1,40,0,37.77,73.36,92,33
2024-03-02,P003,Home Goods,WH05,204,32,251.89,13,184,0,31.1,45.49,97,34
2024-03-03,P010,FMCG,WH04,84,32,414.8,4,138,1,20.71,59.36,1,28
2024-03-04,P009,FMCG,WH05,104,35,88.18,5,150,1,20.43,76.44,17,38
2024-03-05,P001,Electronics,WH02,249,22,43.79,7,193,1,29.78,34.99,13,24
2024-03-06,P007,FMCG,WH04,72,39,131.93,4,59,1,17.88,69.25,62,43
2024-03-07,P010,FMCG,WH02,203,31,108.73,10,31,1,22.91,77.25,2,30
2024-03-08,P004,Electronics,WH01,81,41,400.87,11,24,0,21.53,44.92,40,39
2024-03-09,P009,Home Goods,WH03,454,33,113.24,6,183,0,16.27,36.45,24,31
2024-03-10,P007,FMCG,WH01,329,24,226.89,9,247,1,26.51,51.82,91,21
2024-03-11,P004,Home Goods,WH03,415,33,113.7,11,74,1,39.53,71.3,50,29
2024-03-12,P004,Home Goods,WH05,189,24,344.41,11,172,1,36.83,45.12,86,21
2024-03-13,P002,FMCG,WH04,277,26,198.72,6,293,0,22.75,35.67,58,28
2024-03-14,P003,Apparel,WH02,391,25,470.75,13,114,1,33.17,50.47,99,21
2024-03-15,P010,Home Goods,WH05,362,29,332.11,5,11,1,35.24,55.51,58,28
2024-03-16,P004,Electronics,WH02,407,27,389.01,13,90,0,22.61,54.51,109,24
2024-03-17,P009,FMCG,WH01,475,32,343.43,9,223,0,28.94,58.16,97,32
2024-03-18,P010,Home Goods,WH04,194,32,304.75,12,131,1,17.65,49.02,16,34
2024-03-19,P009,Apparel,WH02,299,27,244.15,13,207,0,27.24,43.75,7,28
2024-03-20,P009,Home Goods,WH01,350,27,91.18,9,279,0,38.23,39.8,42,23
2024-03-21,P007,Home Goods,WH03,436,25,70.79,10,285,0,20.19,53.4,74,28
2024-03-22,P003,FMCG,WH03,429,35,15.85,1,278,1,20.48,66.45,102,30
2024-03-23,P002,Electronics,WH04,304,33,243.86,4,97,1,21.72,42.99,104,30
2024-03-24,P010,FMCG,WH04,147,38,27.16,1,74,1,28.88,38.18,33,37
2024-03-25,P009,Electronics,WH03,351,44,30.2,12,118,0,20.09,35.47,79,39
2024-03-26,P002,FMCG,WH05,193,33,119.81,3,36,0,28.27,36.01,46,36
2024-03-27,P005,Home Goods,WH04,461,39,160.4,5,2,1,16.21,61.12,74,39
2024-03-28,P006,FMCG,WH01,359,33,261.3,4,94,0,21.91,75.95,68,35
2024-03-29,P008,Electronics,WH01,197,27,282.06,12,285,0,36.52,65.8,2,27
2024-03-30,P009,FMCG,WH03,350,36,145.11,13,79,1,31.08,66.68,49,31
2024-03-31,P008,Home Goods,WH02,85,21,250.01,2,246,0,39.57,41.75,74,22
2024-04-01,P010,Electronics,WH03,493,28,468.69,4,7,1,22.57,39.01,31,29
2024-04-02,P009,Home Goods,WH03,138,33,185.89,2,40,0,19.04,64.61,103,35
2024-04-03,P003,Home Goods,WH01,116,30,319.96,3,139,1,24.59,69.27,17,27
2024-04-04,P007,Electronics,WH05,206,30,310.18,7,102,0,30.81,62.39,20,33
2024-04-05,P002,Home Goods,WH02,381,36,466.71,12,105,1,22.04,65.72,9,39
2024-04-06,P003,Home Goods,WH04,157,30,409.28,6,206,0,16.67,46.18,22,31
2024-04-07,P008,FMCG,WH05,91,19,463.26,10,237,1,30.07,68.19,42,21
2024-04-08,P007,FMCG,WH03,311,24,350.96,7,62,0,33.86,59.06,40,28
2024-04-09,P005,Electronics,WH04,306,29,225.28,9,85,0,26.24,78.65,13,33
2024-04-10,P008,Home Goods,WH05,409,32,357.73,8,279,0,25.91,71.33,0,27
2024-04-11,P001,Electronics,WH01,434,19,275.77,8,268,1,20.83,66.08,2,23
2024-04-12,P006,Home Goods,WH01,353,34,386.49,8,235,0,19.28,47.07,78,35
2024-04-13,P001,Electronics,WH01,359,38,213.5,13,11,1,25.03,33.71,69,36
2024-04-14,P005,Apparel,WH02,436,35,416.97,11,282,1,35.06,75.04,6,32
2024-04-15,P002,Home Goods,WH03,491,32,416.15,2,250,0,32.13,33.86,50,34
2024-04-16,P003,Home Goods,WH04,172,22,211.37,3,84,0,36.72,78.54,66,18
2024-04-17,P008,Electronics,WH03,161,39,138.28,12,41,1,29.22,36.0,41,41
2024-04-18,P005,Apparel,WH05,263,25,443.83,10,61,0,28.24,75.87,97,27
2024-04-19,P007,Electronics,WH02,348,28,256.38,11,243,0,36.05,33.45,91,29
2024-04-20,P002,Apparel,WH01,210,28,115.3,2,218,1,33.7,30.24,96,28
2024-04-21,P003,Home Goods,WH03,184,33,303.56,3,74,1,17.72,56.26,119,29
2024-04-22,P003,Apparel,WH02,445,32,69.39,4,269,1,23.03,37.53,54,27
2024-04-23,P006,Apparel,WH04,67,30,84.02,12,288,1,29.55,42.46,90,28
2024-04-24,P010,Apparel,WH01,349,28,219.82,13,48,1,36.35,77.89,65,27
2024-04-25,P004,FMCG,WH03,100,26,377.65,14,15,1,18.4,44.24,49,21
2024-04-26,P001,FMCG,WH05,453,38,231.54,3,186,0,17.58,33.85,110,33
2024-04-27,P004,Home Goods,WH02,497,21,41.3,13,110,0,15.86,62.95,1,16
2024-04-28,P003,Home Goods,WH04,65,32,16.17,12,68,1,18.33,74.5,52,32
2024-04-29,P008,FMCG,WH05,189,24,339.26,7,275,0,26.77,68.59,107,21
2024-04-30,P003,Electronics,WH04,172,20,319.59,10,212,0,16.39,72.3,95,15
2024-05-01,P010,Electronics,WH01,473,28,360.1,13,284,1,21.03,71.6,9,32
2024-05-02,P006,Electronics,WH04,90,27,237.16,3,157,0,22.07,47.14,3,27
2024-05-03,P003,FMCG,WH03,115,24,145.63,9,265,0,38.69,37.51,80,24
2024-05-04,P001,Apparel,WH05,328,29,77.38,5,4,1,32.5,55.73,115,24
